,",",.,?,!,:,;,-,–,',"""",,",",.,?,!,:,;,-,–,',""""
"Johnson, Samuel",235691,84053,2987,1458,6765,32499,9969,6,11164,7658,"Johnson, Samuel",0,0,0,0,0,0,0,0,0,0
"Maupassant, Guy de",213747,112066,12760,13708,16197,14181,24456,0,20042,33394,"Maupassant, Guy de",104591,61134,5000,5970,8033,8009,28390,0,64082,4635
"James, William",70828,44584,2007,1471,1845,6026,17126,0,12014,8134,"James, William",0,0,0,0,0,0,0,0,0,0
"Swift, Jonathan",133806,64109,2788,1482,9150,20732,12886,119,11810,10730,"Swift, Jonathan",15675,6288,208,841,499,2024,2074,0,11482,0
"Lovelace, Richard",6768,4771,204,387,438,905,1768,0,2214,425,"Lovelace, Richard",0,0,0,0,0,0,0,0,0,0
"Van Dyke, Henry",61443,36580,3259,3134,2598,6124,18045,0,5854,14022,"Van Dyke, Henry",0,0,0,0,0,0,0,0,0,0
"Freud, Sigmund",22101,16172,410,68,628,1915,3637,0,1570,2329,"Freud, Sigmund",0,0,0,0,0,0,0,0,0,0
"Brontë, Anne",21839,8309,1270,1226,1236,3468,1120,0,0,0,"Brontë, Anne",0,0,0,0,0,0,0,0,0,0
"Brontë, Emily",9892,5142,779,1329,1173,1896,572,0,0,0,"Brontë, Emily",0,0,0,0,0,0,0,0,0,0
"Brontë, Charlotte",57259,33734,4832,3097,4897,12116,16274,0,4156,15139,"Brontë, Charlotte",13337,8308,1303,801,801,5032,7179,0,11953,0
Stendhal,10624,11303,675,376,177,617,1283,0,1555,5837,Stendhal,48796,31004,1833,2583,2639,6658,14557,0,23672,0
"Fitzgerald, F. Scott (Francis Scott)",21640,23117,2214,1890,1400,1300,12358,0,7294,13010,"Fitzgerald, F. Scott (Francis Scott)",0,0,0,0,0,0,0,0,0,0
"Tocqueville, Alexis de",40387,22438,421,98,1883,7733,5478,0,677,1384,"Tocqueville, Alexis de",21513,13081,296,42,1101,3961,4976,0,23654,22
"Chrétien, de Troyes, active 12th century",15868,10868,652,508,1304,2364,1310,0,887,4405,"Chrétien, de Troyes, active 12th century",0,0,0,0,0,0,0,0,0,0
"Bacon, John M. (John Mackenzie)",7802,3843,28,29,65,268,713,0,284,542,"Bacon, John M. (John Mackenzie)",0,0,0,0,0,0,0,0,0,0
"Christie, Agatha",8723,11929,1806,1060,285,106,2172,0,0,0,"Christie, Agatha",0,0,0,0,0,0,0,0,0,0
"Shaw, Bernard",78202,105320,12188,8285,8888,10922,16243,0,18094,18544,"Shaw, Bernard",0,0,0,0,0,0,0,0,0,0
"Spinoza, Benedictus de",35789,21858,210,35,2129,3430,4217,0,1328,1615,"Spinoza, Benedictus de",0,0,0,0,0,0,0,0,0,0
"Poe, Edgar Allan",95260,44433,2811,6162,1688,7247,16941,0,1948,3264,,,,,1603,598,2684,13647,0,21811,797
,,,,,,,,,,,"Poe, Edgar Allan",28105,13886,861,,,,,,,
"Darwin, Charles",395756,294345,2904,1496,17512,56912,88451,13,35116,25426,"Darwin, Charles",21736,9460,211,38,289,2625,4053,0,17359,0
"Dumas, Alexandre",596475,321071,48776,43749,14499,73020,90901,0,51070,288397,"Dumas, Alexandre",522106,271871,42670,49818,21523,58216,276532,0,281228,1161
"Munro, John",10363,6014,276,169,66,693,1521,0,1485,1869,"Munro, John",0,0,0,0,0,0,0,0,0,0
"Zola, Émile",307661,149812,11629,22024,7946,22921,32884,0,19008,45565,"Zola, Émile",409494,204288,12229,28025,10125,19990,87402,0,211618,459
"Rougemont, Louis de",6814,3873,53,119,17,509,2234,0,288,578,"Rougemont, Louis de",0,0,0,0,0,0,0,0,0,0
"Rabelais, François",71188,26735,2164,1262,753,6757,8521,0,4364,12,"Rabelais, François",0,0,0,0,0,0,0,0,0,0
"Babbage, Charles",12091,6986,105,5,460,1546,1296,0,353,202,"Babbage, Charles",0,0,0,0,0,0,0,0,0,0
"Flaubert, Gustave",61471,36041,2976,7751,1981,8430,12553,0,3688,13739,"Flaubert, Gustave",61192,34205,2597,8415,3656,8346,19977,0,39629,523
"Rostand, Edmond",10719,19130,2865,8190,2802,613,8429,0,2836,753,"Rostand, Edmond",2781,4301,646,2170,2621,110,1186,0,2163,60
"Huxley, Thomas Henry",167348,83009,3054,816,4762,18665,35657,0,12432,29748,"Huxley, Thomas Henry",0,0,0,0,0,0,0,0,0,0
"Scott, Walter Dill",3108,3685,44,0,75,316,882,0,820,0,"Scott, Walter Dill",0,0,0,0,0,0,0,0,0,0
"Eliot, T. S. (Thomas Stearns)",1869,1602,98,63,141,209,358,0,193,594,"Eliot, T. S. (Thomas Stearns)",0,0,0,0,0,0,0,0,0,0
"Graves, Robert",4599,2703,226,253,265,446,1163,0,552,434,"Graves, Robert",0,0,0,0,0,0,0,0,0,0
Shakespeare (spurious and doubtful works),5543,4294,625,268,617,797,370,0,949,0,Shakespeare (spurious and doubtful works),0,0,0,0,0,0,0,0,0,0
"Dumas, Alexandre",596475,321071,48776,43749,14499,73020,90901,0,51070,288397,"Dumas, Alexandre",522106,271871,42670,49818,21523,58216,276532,0,281228,1161
"Johnston, Mary",122841,87276,7061,15430,799,6355,35107,0,20954,52024,"Johnston, Mary",0,0,0,0,0,0,0,0,0,0
"Stephenson, Nathaniel W. (Nathaniel Wright)",13943,12423,324,126,326,1223,2426,0,1311,3139,"Stephenson, Nathaniel W. (Nathaniel Wright)",0,0,0,0,0,0,0,0,0,0
"Burgess, Thornton W. (Thornton Waldo)",47425,56145,3091,4321,646,701,6870,0,20011,25274,"Burgess, Thornton W. (Thornton Waldo)",0,0,0,0,0,0,0,0,0,0
"Daudet, Alphonse",75341,42786,3761,5817,2275,5006,14408,0,11484,13191,"Daudet, Alphonse",74593,61868,3101,6979,4478,4175,17543,0,46940,6564
"Fabre, Jean-Henri",50138,32808,1963,789,2519,6014,10834,0,3920,753,"Fabre, Jean-Henri",15936,7663,494,224,560,1760,1958,0,13282,0
"Reeve, Arthur B. (Arthur Benjamin)",72185,71763,6725,2050,494,647,18312,0,13239,46940,"Reeve, Arthur B. (Arthur Benjamin)",0,0,0,0,0,0,0,0,0,0
"Cooper, Susan Fenimore",20133,10945,899,592,254,3941,4467,0,2042,7903,"Cooper, Susan Fenimore",0,0,0,0,0,0,0,0,0,0
"Sheridan, Richard Brinsley",9384,10236,1209,3071,319,1002,10854,0,3502,173,"Sheridan, Richard Brinsley",0,0,0,0,0,0,0,0,0,0
"France, Anatole",125195,90144,4250,4563,7718,8106,16974,5,9679,22581,"France, Anatole",111443,81740,3158,3448,8311,6074,30737,0,81669,1371
"Racine, Jean",1178,620,241,138,31,142,107,0,458,28,"Racine, Jean",1437,803,243,150,64,126,283,0,1059,4
"Huxley, Aldous",9577,9694,783,434,281,989,2329,0,2196,3785,"Huxley, Aldous",0,0,0,0,0,0,0,0,0,0
"Wodehouse, P. G. (Pelham Grenville)",150221,176614,20767,14274,1217,3885,38596,0,70706,76091,"Wodehouse, P. G. (Pelham Grenville)",0,0,0,0,0,0,0,0,0,0
"Sands, George W.",3076,676,100,261,57,343,726,0,544,124,"Sands, George W.",0,0,0,0,0,0,0,0,0,0
Molière,25027,31033,3593,3497,1647,4585,2882,0,2512,951,Molière,33967,32228,3738,4712,1848,5018,18108,0,24987,755
"Adams, Henry",43191,29079,1012,806,763,6605,6278,0,4397,6174,"Adams, Henry",0,0,0,0,0,0,0,0,0,0
"Adams, Samuel",23053,14934,535,205,762,2217,4141,0,1131,2259,"Adams, Samuel",0,0,0,0,0,0,0,0,0,0
"Saint-Pierre, Bernardin de",7546,2965,189,340,214,776,778,0,690,813,"Saint-Pierre, Bernardin de",0,0,0,0,0,0,0,0,0,0
"Sand, George",11991,6876,660,674,260,2016,1529,0,1586,3910,"Sand, George",413605,243856,25416,36394,14391,47229,138019,0,358041,6599
"Loti, Pierre",43461,16490,804,1846,981,4566,9858,0,1770,3535,"Loti, Pierre",99429,45989,1424,3795,3314,10353,21250,0,51966,1154
Voltaire,106959,52799,4567,1822,3683,16723,11398,0,5682,16780,Voltaire,13091,7607,751,568,979,2330,2264,0,10047,73
"Mérimée, Prosper",23055,18059,1234,1441,393,1407,3849,0,2539,5575,"Mérimée, Prosper",9560,7869,521,534,347,903,3292,0,8313,4
"Keats, John",19396,11394,808,1168,1375,2491,11160,0,4535,1549,"Keats, John",5059,5296,280,602,500,811,1500,0,3195,0
"Hesse, Hermann",4724,1518,222,120,173,86,113,0,0,0,"Hesse, Hermann",0,0,0,0,0,0,0,0,0,0
"Wallace, Alfred Russel",65106,33915,265,171,916,5909,15843,0,2268,3189,"Wallace, Alfred Russel",0,0,0,0,0,0,0,0,0,0
"Corneille, Pierre",3210,2106,297,932,109,551,1577,0,379,42,"Corneille, Pierre",81603,76179,5758,3803,9407,13414,17223,0,74994,2
"Taine, Hippolyte",119459,67724,1002,1149,7857,12216,28281,0,4588,26588,"Taine, Hippolyte",64602,33193,1605,1798,4103,9232,19426,0,37267,258
"Proust, Marcel",18471,4839,381,469,394,1489,2333,0,2988,2430,"Proust, Marcel",67836,26358,1456,1900,2429,2762,17833,0,48827,2210
"Wallace, Edgar",65916,55897,6577,3668,751,2529,20852,0,18194,58979,"Wallace, Edgar",0,0,0,0,0,0,0,0,0,0
"Joyce, James",24366,31406,3206,2330,3487,409,755,0,0,0,"Joyce, James",0,0,0,0,0,0,0,0,0,0
"Casanova, Giacomo",267845,168611,11257,5055,2407,23258,44365,0,15840,69099,"Casanova, Giacomo",0,0,0,0,0,0,0,0,0,0
"Frost, Robert",1882,2085,307,156,149,182,1169,0,1437,1180,"Frost, Robert",0,0,0,0,0,0,0,0,0,0
"Burroughs, John",98763,52354,2168,2100,1450,10515,21534,0,4321,10109,"Burroughs, John",0,0,0,0,0,0,0,0,0,0
"Hobbes, Thomas",23666,6453,178,0,1302,5005,757,0,0,1458,"Hobbes, Thomas",0,0,0,0,0,0,0,0,0,0
"Montaigne, Michel de",88497,28588,2459,516,6171,14557,9603,0,5079,12749,"Montaigne, Michel de",59139,17130,1639,395,6590,6319,10466,0,42399,2
"Ives, Charles",2247,1240,118,43,38,108,1554,0,268,944,"Ives, Charles",0,0,0,0,0,0,0,0,0,0
"Liszt, Franz",22159,15576,518,764,425,1427,6169,0,1739,5345,"Liszt, Franz",6754,2133,153,406,152,469,834,0,4936,0
"Rousseau, Jean-Jacques",78214,32241,2155,1050,2147,13213,3743,0,3265,3251,"Rousseau, Jean-Jacques",0,0,0,0,0,0,0,0,0,0
