"",",",".","?","!",":",";","-","–","'",""""
"Talleyrand-Périgord, Charles Maurice de, prince de Bénévent",70092,43652,823,286,2499,6470,15350,0,57717,0
"Itard, Jean Marc Gaspard",1512,577,11,10,43,167,226,0,1343,0
"Régnier, Henri de",1562,612,30,76,74,219,105,0,1297,0
"Montesquieu, Charles de Secondat, baron de",18022,14469,557,286,2333,3396,2430,0,15848,0
"Gounod, Charles",4265,1881,124,330,318,461,946,0,3650,0
"Whistler, James McNeill",0,0,0,0,0,0,0,0,0,0
"Robespierre, Maximilien",20325,9450,1683,799,1327,4228,3715,0,18472,426
"Hamilton, Francis",0,0,0,0,0,0,0,0,0,0
"Lovecraft, H. P. (Howard Phillips)",0,0,0,0,0,0,0,0,0,0
"Massenet, Jules",7017,3697,155,684,309,247,1280,0,4939,0
"Fleming, J. A. (John Ambrose), Sir",0,0,0,0,0,0,0,0,0,0
"Douce, Francis",0,0,0,0,0,0,0,0,0,0
"Sévigné, Madame de",19671,11838,731,817,3667,6615,4013,0,18349,0
"Napoleon III, Emperor of the French",0,0,0,0,0,0,0,0,0,0
"Chateaubriand, René",13048,8243,408,407,2212,2057,3753,0,10225,0
"Montagu, Edward Wortley",0,0,0,0,0,0,0,0,0,0
"Claudel, Paul",4291,6434,1064,1033,68,51,7081,0,4695,0
"Walters, H. B.",0,0,0,0,0,0,0,0,0,0
"Voltaire, Francois-Marie de",4625,2695,102,5,350,681,1461,0,3676,0
